artwork,artist,year,description,type,movement,artwork_fullsize,artwork_small,source,location_source,latitude,longitude
View from Stalheim,Johan Christian Dahl,1842,,Oil on canvas,Romanticism,https://upload.wikimedia.org/wikipedia/commons/5/58/Johan_Christian_Claussen_Dahl_%E2%80%93_View_from_Stalheim_%E2%80%93_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Johan_Christian_Claussen_Dahl_%E2%80%93_View_from_Stalheim_%E2%80%93_Google_Art_Project.jpg/960px-Johan_Christian_Claussen_Dahl_%E2%80%93_View_from_Stalheim_%E2%80%93_Google_Art_Project.jpg,https://www.nasjonalmuseet.no/en/collection/object/NG.M.01060,https://snl.no/Stalheim,60.8295600,6.6796579
Starry Night Over the Rhône,Vincent van Gogh,1888,,Oil on canvas,Post-impressionism,https://upload.wikimedia.org/wikipedia/commons/0/01/Vincent_van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Vincent_van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg/960px-Vincent_van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg,https://www.musee-orsay.fr/en/artworks/la-nuit-etoilee-78696,https://raymoonphoto.com/en/the_riddle_of_the_painting/,43.6822809,4.6302084
Clearing Winter Storm,Ansel Adams,c. 1937,,Photograph,Straight photography,https://upload.wikimedia.org/wikipedia/commons/1/11/Clearing_Winter_Storm%2C_Yosemite_Valley.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Clearing_Winter_Storm%2C_Yosemite_Valley.jpg/960px-Clearing_Winter_Storm%2C_Yosemite_Valley.jpg,https://www.slam.org/collection/objects/36452/,https://www.famsf.org/stories/ansel-adams-photo-essay,37.7140771,-119.6878794
Le Grand Canal,Claude Monet,1908,,Oil on canvas,Impressionism,https://upload.wikimedia.org/wikipedia/commons/7/75/Claude_Monet%2C_Le_Grand_Canal.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Claude_Monet%2C_Le_Grand_Canal.jpg/960px-Claude_Monet%2C_Le_Grand_Canal.jpg,https://collections.mfa.org/objects/31790/grand-canal-venice,https://collections.mfa.org/objects/31790/grand-canal-venice,45.431611,12.329861
The Oxbow,Thomas Cole,1836,,Oil on canvas,Hudson River School,https://upload.wikimedia.org/wikipedia/commons/b/b1/Cole_Thomas_The_Oxbow_%28The_Connecticut_River_near_Northampton_1836%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Cole_Thomas_The_Oxbow_%28The_Connecticut_River_near_Northampton_1836%29.jpg/960px-Cole_Thomas_The_Oxbow_%28The_Connecticut_River_near_Northampton_1836%29.jpg,https://www.metmuseum.org/art/collection/search/10497,https://www.hudsonriverschool.org/the-oxbow,42.300592,-72.587733
"Rain, Steam, and Speed - The Great Western Railway",J. M. W. Turner, 1844,,Oil on canvas,Romanticism,https://upload.wikimedia.org/wikipedia/commons/9/96/Turner_-_Rain%2C_Steam_and_Speed_-_National_Gallery_file.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Turner_-_Rain%2C_Steam_and_Speed_-_National_Gallery_file.jpg/960px-Turner_-_Rain%2C_Steam_and_Speed_-_National_Gallery_file.jpg,https://www.nationalgallery.org.uk/paintings/joseph-mallord-william-turner-rain-steam-and-speed-the-great-western-railway,https://www.nationalgallery.org.uk/paintings/joseph-mallord-william-turner-rain-steam-and-speed-the-great-western-railway,51.521134,-0.702693
"Flatford Mill (‘Scene on a Navigable River’)",John Constable,1817,,Oil on canvas,Romanticism,https://upload.wikimedia.org/wikipedia/commons/6/62/John_Constable_-_Flatford_Mill.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/John_Constable_-_Flatford_Mill.jpg/960px-John_Constable_-_Flatford_Mill.jpg,https://www.tate.org.uk/art/artworks/constable-flatford-mill-scene-on-a-navigable-river-n01273,https://www.nationaltrust.org.uk/visit/suffolk/flatford/things-to-see-and-do-at-flatford,51.95956,1.01963
The Hay Wain,John Constable,1821,,Oil on canvas,Romanticism,https://upload.wikimedia.org/wikipedia/commons/5/5e/John_Constable_-_The_Hay_Wain_%281821%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/John_Constable_-_The_Hay_Wain_%281821%29.jpg/960px-John_Constable_-_The_Hay_Wain_%281821%29.jpg,https://www.nationalgallery.org.uk/paintings/john-constable-the-hay-wain,https://www.nationaltrust.org.uk/visit/suffolk/flatford/things-to-see-and-do-at-flatford,51.95867,1.021949
The Mill Stream,John Constable,1814,,Oil on canvas,Romanticism,https://upload.wikimedia.org/wikipedia/commons/e/ee/The_Mill_Stream%2C_Flatford_By_John_Constable.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/The_Mill_Stream%2C_Flatford_By_John_Constable.jpg/960px-The_Mill_Stream%2C_Flatford_By_John_Constable.jpg,https://cim-web.adlibhosting.com/ais6/Details/collect/66648,https://www.nationaltrust.org.uk/visit/suffolk/flatford/things-to-see-and-do-at-flatford,51.958724,1.021599
Boat-Building Near Flatford Mill,John Constable,1815,,Oil on canvas,Romanticism,https://upload.wikimedia.org/wikipedia/commons/b/b4/Constable_-_Boat-Building_near_Flatford_Mill%2C_1815%2C_FA.37.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Constable_-_Boat-Building_near_Flatford_Mill%2C_1815%2C_FA.37.jpg/723px-Constable_-_Boat-Building_near_Flatford_Mill%2C_1815%2C_FA.37.jpg,https://collections.vam.ac.uk/item/O17291/boat-building-near-flatford-mill-oil-painting-constable-john-ra/,https://www.nationaltrust.org.uk/visit/suffolk/flatford/things-to-see-and-do-at-flatford,51.959694,1.020374
View on the Stour near Dedham,John Constable,1822,,Oil on canvas,Romanticism,https://upload.wikimedia.org/wikipedia/commons/c/c8/Constable%2C_View_on_the_Stour_near_Dedham.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Constable%2C_View_on_the_Stour_near_Dedham.jpg/960px-Constable%2C_View_on_the_Stour_near_Dedham.jpg,https://huntington.emuseum.com/objects/273/view-on-the-stour-near-dedham,https://www.nationaltrust.org.uk/visit/suffolk/flatford/things-to-see-and-do-at-flatford,51.959533,1.020286
Boys Fishing,John Constable,1813,,Oil on canvas,Romanticism,https://upload.wikimedia.org/wikipedia/en/9/99/Boys_Fishing_%28John_Constable%29.jpeg,https://upload.wikimedia.org/wikipedia/en/9/99/Boys_Fishing_%28John_Constable%29.jpeg,https://www.ebsoc.org.uk/constable-painting/boys-fishing/,https://www.nationaltrust.org.uk/visit/suffolk/flatford/things-to-see-and-do-at-flatford,51.958967,1.020461
The Lock,John Constable,1824,,Oil on canvas,Romanticism,https://upload.wikimedia.org/wikipedia/commons/a/a6/John_Constable_A_Boat_Passing_a_Lock.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/John_Constable_A_Boat_Passing_a_Lock.jpg/960px-John_Constable_A_Boat_Passing_a_Lock.jpg,https://www.ebsoc.org.uk/constable-painting/the-lock/,https://www.nationaltrust.org.uk/visit/suffolk/flatford/things-to-see-and-do-at-flatford,51.958805,1.020636
The White Horse,John Constable,1819,,Oil on canvas,Romanticism,https://upload.wikimedia.org/wikipedia/commons/1/10/The_White_Horse_by_John_Constable_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/The_White_Horse_by_John_Constable_-_Google_Art_Project.jpg/960px-The_White_Horse_by_John_Constable_-_Google_Art_Project.jpg,https://collections.frick.org/objects/80/the-white-horse,https://www.nationaltrust.org.uk/visit/suffolk/flatford/things-to-see-and-do-at-flatford,51.958077,1.021445
The Grand Canal at the Church of the Salute,Canaletto,c. 1740,,Oil on canvas,Rococo,https://upload.wikimedia.org/wikipedia/commons/7/71/Canaletto_-_B%C3%BChrle_foundation_csm_Canal_S_Maria_cf2fa1ba03.jpg,https://upload.wikimedia.org/wikipedia/commons/7/71/Canaletto_-_B%C3%BChrle_foundation_csm_Canal_S_Maria_cf2fa1ba03.jpg,https://buehrle.ch/en/artworks/santa-maria-della-salute-2/,https://www.canalgrandevenezia.it/index.php/palazzi-canal-grande/lato-sinistro/8-abbazia-di-san-gregorio,45.431038,12.334098